Restaurant,Nickname,Review,Date,Revisit_Count,Reviewer_Review_Count,Reviewer_Photo_Count
버거부기,kee****,패티 육즙 가득🥺 토마토랑 양파 양상추(?) 양도 엄청 많아요 안에 피클이 있습니다 맛있게 잘먹었습니당,24.4.27.토,1,47,18
버거부기,heaeano,너무 배고파서 음식이 나오자마자 허겁지겁 먹느라 사진이 요런데 정말 맛있습니다 … 🩶🥹,24.4.25.목,1,18,39
버거부기,정블리2727,"내슈빌 힛 치킨부기세트 먹었는데, 치킨 적당히 맵고 완전 맛있었어요. 감자튀김도 따뜻하고 윙도 짭짤하니 아주굿굿!!",24.4.12.금,1,1,147
버거부기,GILGIL,"수제버거 맛집이에요~~!!!
분위기 있는 가게도 너무 예뻐서 데이트 하기 최고입니당!
수제버거 먹고 싶을때는 버거부기😉",24.2.22.목,2,90,41
버거부기,리뷰왕김리뷰,인테리어가 깔끔하고 이색적이여서 맘에 들어요! 분위기도 좋고 햄버거도 맛있습니다~~,24.3.28.목,1,29,49
버거부기,GILGIL,"항상 자주 방문하는 수제버거 맛집이예요!!
인테리어도 예쁘고 분위기 있어서 데이트하기 딱입니다.

사장님이 정말 친절하시고 버거랑 감자튀김이 정말 맛있어요!!!!🥰
매달마다 나오는 새로운 메뉴를 먹어보는 재미도 있습니다!
앞으로도 계속 방문예정!!!
더보기",24.1.1.월,1,90,41
버거부기,누룽지 고소한 이야기,클래식치즈부기 수제버거의 정석이에요 맛있습니다!!!,24.3.15.금,1,661,2
버거부기,seo1005,분위기가 너무 좋아요!! 제가 좋아하는 분위기에요! 성남에 일이 있어서 청주에서 왔는데 우연히 버거집을 보게 되었어요!! 비주얼만큼 맛도 있을거 같아요!,24.4.19.금,1,15,12
버거부기,우마왕16,내슈빌 핫 치킨 매콤하네요,24.7.31.수,9,687,256
버거부기,자누13,"스위트 갈릭 치즈 프라이 짱 맛있어여!!
버거도 맛있어요!!!!",24.4.5.금,1,6,4
버거부기,유찔찔,너무너무 맛있어요 자주옵니다. 번창하세요,24.5.8.수,2,28,34
버거부기,머찜쟁이,맛집이라 검색해보고 왔는데 너무 맛있어요 스프도 맛있어요^^,24.4.27.토,1,17,23
버거부기,솜37,"징쨔 맛나요 빵이 왜 바삭하죠? ..
패티도 두껍고 수제햄버거라 왠지 건강할거같은 ㅎ
머쉬룸부기세트 강츄합니더!!!소스가 존맛이에용 ㅠ",24.1.24.수,1,88,155
버거부기,Melody75,"가게 분위기가 너무 좋고 틀어주시는 노래가 너무 좋아요 ㅎㅎㅎ
자주 올 거 같아요",24.3.21.목,1,27,25
버거부기,susu1222,처음 방문했는데 가게 인테리어도 멋지고 분위기가 너무 좋아요~! 음식도 정말 맛있습니다! 또 올게요~!!👍,24.4.23.화,1,16,13
버거부기,남09,복정역에서 가장 맛있는 수제버거집! ☺️👏👏,24.5.7.화,2,18,29
버거부기,zza****,최근에 먹은 수제버거 중에 제일 맛있었습니다,24.6.14.금,1,694,7
버거부기,우야ㅇ,사장님도 친절하시고 버거 스프 감튀 모두 너무너무 맛있게 먹고 갑니당 ㅎㅎ 다음에도 방문할게요!! 😆,24.4.18.목,1,10,8
버거부기,soa****,너무 맛잇어요!! 잘먹엇습니다,24.5.8.수,1,4,3
